Object Label,Area (pixels),Centroid Y,Centroid X
5,79190.96800231934,404.36827651515154,235.4763494318182
8,68329.73725891113,532.7891528179191,1306.403136540623
9,286288.161529541,719.5500012891914,575.698206734736
10,38636.75173950195,564.5029454748845,1032.2660670467667
12,54608.112243652344,723.8866904893489,1485.6390738042603
13,489400.5365753174,1058.6080135293796,1211.9825920161643
16,71253.94985961914,1123.9570600784132,757.2654207987392
20,12854.780502319336,1364.190202172939,883.1969366039426
