Object Label,Area (pixels),Centroid Y,Centroid X
9,33930.84696960449,238.74834125163827,414.27208080766707
10,16899.792999267578,223.88077491554054,236.52415540540542
11,134788.13761901855,402.15649390489216,673.2672480990506
13,34109.198669433594,431.8528662876309,309.0086407886125
14,6614.346527099609,437.86214435634326,429.582322761194
16,90661.48890686035,679.1306744804181,553.8734851783997
19,84738.82864379883,965.5319131353199,456.0344386932405
21,43358.49703979492,1170.5418939296715,500.21051238449695
22,148495.72158813477,1403.0672025152883,746.4678775207484
24,83106.06280517578,1413.411540225367,283.8487024207285
