Object Label,Area (pixels),Centroid Y,Centroid X
6,77986.88493347168,189.0938268514615,302.52751062745926
8,126788.64442443848,317.4938198830659,947.6523530855242
10,32894.69886779785,271.1344449626866,589.7204990671642
12,144369.68161010742,491.5639914347696,316.52600543274986
13,37771.70671081543,463.01625385575795,653.81441869859
14,148556.82801818848,610.8864814915722,1356.5391465053763
15,331392.56381225586,870.9857653172778,997.5274257417724
17,208655.29344177246,869.1145922130089,582.3966526852139
20,178023.48403930664,1196.2567861854075,410.9244791666667
24,43843.74951171875,1440.0648665889616,1178.6368408203125
