Object Label,Area (pixels),Centroid Y,Centroid X
3,72682.10673522949,181.296422920434,945.5604185503316
4,53199.87641906738,233.3788997665975,1197.4944177904563
7,35751.012619018555,296.82876712328766,386.4607769691781
8,18266.387237548828,300.3008978544776,770.0556883550995
9,29510.578643798828,329.30492496200606,589.2601811835106
10,21994.082229614258,408.8687419458763,1047.583174935567
13,23642.232391357422,429.7684544320342,864.8286819748099
14,31097.16616821289,477.0281048531519,699.9442547904728
15,45780.70422363281,488.8215767320736,357.09437833091084
16,32182.204483032227,567.5941238297503,544.7276569001386
17,35993.63885498047,593.1663427493842,139.0985221674877
18,35789.942306518555,577.4166309931508,989.402290239726
19,15241.682312011719,622.7577419051205,843.3397613893071
20,103440.20951843262,788.581175782892,301.6191677175284
21,38445.271408081055,716.9139183246829,742.0363637182815
23,92316.8876953125,902.7404988606771,575.1130167643229
24,14082.408935546875,761.0070929276316,1010.2936883223684
25,27065.282302856445,844.5061079545454,936.6825994318182
27,56923.94709777832,1000.5802820475639,826.4705414974865
29,50052.04621887207,1050.8266838592233,1090.9360588592233
30,39860.755859375,1063.846400669643,332.93717302594865
31,22425.02069091797,1090.3741266514228,1376.7552559705284
32,40919.53691101074,1182.589429001896,733.0141014355363
34,42259.8738861084,1217.8618922705944,477.4536056438999
35,43850.541931152344,1233.7519333565283,1321.0219430035424
37,66691.09141540527,1345.3380693507243,324.90527536619487
39,58582.05778503418,1386.9566438533056,643.456159607438
40,13787.724380493164,1389.7811053240741,1533.134982638889
41,38575.18910217285,1458.1605762283236,1382.7764992774567
43,15763.152572631836,1509.7833227040817,1558.227894952624
45,5098.3697509765625,1520.0670447716348,488.86703725961536
