Object Label,Area (pixels),Centroid Y,Centroid X
6,29277.45672607422,218.12367594900306,879.1422066717791
8,92063.8447265625,463.79536946614587,828.6229451497395
10,331453.2140350342,733.2513142098371,463.4920621927952
12,92216.3953704834,880.4576141342965,932.1640828546897
16,224940.80334472656,1190.2630235750862,1111.111953992391
17,11776.534606933594,1082.8992900545634,303.68760850694446
18,11375.021514892578,1080.647372159091,410.7189275568182
19,42147.16534423828,1103.343177248154,615.8391844672996
20,131277.26780700684,1336.5688123762786,442.69301076377434
21,26142.298950195312,1278.4358278039383,729.8427600599315
22,13373.082656860352,1359.6429092776816,1477.9361753892733
25,39805.5294342041,1452.4853025710702,213.2742170080825
28,8761.79020690918,1458.957096717877,656.1138486382681
29,11410.326889038086,1505.911690283401,1542.5034950657894
