Object Label,Area (pixels),Centroid Y,Centroid X
7,42590.32002258301,157.27190333549223,1241.9578853626942
10,44025.725524902344,245.79290549089072,971.9813069331984
11,78335.88349914551,382.8302574603506,1433.6935191464943
13,1797.9889068603516,254.41927083333331,746.9388020833334
14,26553.772567749023,346.3710210448392,1191.0003238684433
15,90458.24856567383,471.05361545559055,520.0454777498791
16,81001.6293334961,440.978907937365,916.4522096044817
17,196183.9298095703,693.6517147339082,1249.082513524275
19,22207.739303588867,559.4325595086558,669.7465551807535
21,128514.65396118164,787.2142071759259,825.9188802083333
22,133612.11129760742,765.9914305533052,226.81652017174338
23,18518.973999023438,700.5912511488971,546.0970052083334
25,251563.36183166504,1071.1820663788683,483.85450571144645
27,7822.053909301758,912.4489583333333,1559.3502604166667
28,65861.80796813965,1027.2939303684298,1134.5685737899203
30,57610.64042663574,1036.1442622656846,1392.463591478577
31,73656.69219970703,1178.208687462886,968.3490062722684
35,40323.37538146973,1337.6234939759038,795.9834807981928
