Image Name,Total Grains,Average Area (pixels)
61,24,57302.76810201009
222,22,74876.37387084961
267,6,120330.02509562175
279,23,60671.41327567722
95,27,45017.97634887695
01,15,73068.67819417318
184,23,55399.13378508195
110,6,160859.79625193277
155,14,76144.3379723685
44,25,55401.345178222655
70,27,46994.34417781123
161,3,144019.3228708903
124,3,379974.16949971515
35,20,64531.40363922119
253,10,128353.50127563477
216,7,181520.89573669434
282,25,54074.89109741211
208,12,102091.26796722412
55,18,60671.80673302544
144,5,116497.3939819336
101,7,172000.19748578753
195,9,122439.84293958877
10,18,75591.05047268338
84,33,43438.58599344889
268,6,120330.02509562175
276,30,51122.715694173174
233,8,114759.0795211792
136,7,106713.31930541992
27,27,51972.17852218063
62,24,57302.76810201009
173,17,52280.110371309165
39,21,66587.25477745419
128,27,52065.83055397316
204,9,143451.27722676596
290,31,39395.838131812314
241,21,69861.11766851516
148,6,106175.73394521077
59,24,57302.76810201009
88,33,43438.58599344889
199,22,67874.84561157227
113,10,67670.29217681885
187,10,120377.8271697998
02,15,73068.67819417318
96,27,45017.97634887695
47,11,105783.81541442871
156,14,76144.3379723685
221,5,262967.87461242673
264,10,133028.3535369873
250,13,104554.35346750113
281,23,60671.41327567722
215,7,107130.39413452148
139,1,314635.8171386719
28,27,51972.17852218063
162,3,144019.3228708903
73,8,137570.3747138977
36,20,64531.40363922119
127,27,52065.83055397316
275,2,190487.5990447998
230,4,327267.98749923706
147,6,106175.73394521077
56,18,60671.80673302544
87,33,43438.58599344889
13,17,88224.20899245318
196,9,122439.84293958877
102,7,172000.19748578753
188,10,120377.8271697998
99,7,172000.19748578753
48,11,105783.81541442871
159,3,144019.3228708903
258,15,73795.14434916178
289,87,20855.124934229356
203,7,149021.84443882533
297,23,62077.057314002
246,18,68407.5163752238
20,13,111171.78231811523
131,11,101701.48147583008
174,15,79691.58452148437
65,15,67471.45254618327
226,9,132573.6962398953
263,8,144521.26914978027
238,7,117172.4974735805
05,15,73068.67819417318
91,7,124512.38736179897
114,10,67670.29217681885
180,15,78313.97541198731
151,10,79619.36690979004
40,21,66587.25477745419
74,8,137570.3747138977
165,22,55104.14779663086
120,7,106022.3390764509
31,15,79120.92328898112
257,9,121347.26312425401
286,18,54606.024109734426
212,14,90193.62662179129
298,23,61432.85627680239
249,13,104554.35346750113
51,6,145051.1665725708
140,1,314635.8171386719
191,10,114013.32002258301
105,22,60306.767822265625
80,74,24592.79881678401
14,17,88224.20899245318
229,4,327267.98749923706
272,4,197725.9294090271
237,7,117172.4974735805
57,18,60671.80673302544
146,5,116497.3939819336
197,9,122439.84293958877
103,22,60306.767822265625
86,33,43438.58599344889
12,17,88224.20899245318
98,27,45017.97634887695
189,10,114013.32002258301
158,14,76144.3379723685
49,11,105783.81541442871
274,2,190487.5990447998
231,8,114759.0795211792
29,27,51972.17852218063
138,7,106713.31930541992
72,8,137570.3747138977
163,22,55104.14779663086
126,3,379974.16949971515
37,20,64531.40363922119
251,13,104554.35346750113
280,23,60671.41327567722
214,7,107130.39413452148
220,5,262967.87461242673
265,10,133028.3535369873
58,18,60671.80673302544
149,6,106175.73394521077
198,22,67874.84561157227
89,7,124512.38736179897
03,15,73068.67819417318
97,27,45017.97634887695
112,10,67670.29217681885
186,10,120377.8271697998
157,14,76144.3379723685
46,25,55401.345178222655
205,9,143451.27722676596
291,31,39395.838131812314
240,21,69861.11766851516
26,27,51972.17852218063
137,7,106713.31930541992
172,17,52280.110371309165
63,15,67471.45254618327
129,27,52065.83055397316
38,20,64531.40363922119
228,4,327267.98749923706
273,2,190487.5990447998
236,5,95335.51999511718
141,1,314635.8171386719
50,11,105783.81541442871
81,74,24592.79881678401
15,17,88224.20899245318
190,10,114013.32002258301
104,22,60306.767822265625
256,9,121347.26312425401
287,18,54606.024109734426
213,7,107130.39413452148
299,23,61432.85627680239
248,18,68407.5163752238
164,22,55104.14779663086
75,33,51147.87606302897
30,27,51972.17852218063
121,7,106022.3390764509
115,46,38091.42426266878
181,15,78313.97541198731
04,15,73068.67819417318
90,7,124512.38736179897
41,21,66587.25477745419
150,6,106175.73394521077
227,9,132573.6962398953
262,8,144521.26914978027
239,7,117172.4974735805
130,27,52065.83055397316
21,18,77739.54455566406
64,15,67471.45254618327
175,15,79691.58452148437
259,15,73795.14434916178
288,87,20855.124934229356
202,7,149021.84443882533
296,23,62077.057314002
247,18,68407.5163752238
