Object Label,Area (pixels),Centroid Y,Centroid X
9,41683.63340759277,245.39876888918346,1397.2579036320255
10,171433.1390838623,351.6775882963989,251.02181440443212
11,229992.08236694336,509.9255446845794,1200.8292640186917
14,34702.19209289551,439.4320676342174,573.8897356080207
15,62150.86592102051,501.8338862349611,790.5784733280254
17,116113.01400756836,793.33984375,559.6812855113636
18,171248.9073791504,822.3904672513881,268.1058690371025
19,192799.8095855713,867.1276749035882,915.6759166107759
22,90988.76693725586,1208.0986843090845,758.4259572746884
23,47817.695053100586,1221.1258000753012,490.0065454124189
24,47840.32800292969,1447.3072554976852,849.15380859375
26,18324.781768798828,1460.1538013059703,1036.2527596393036
