Object Label,Area (pixels),Centroid Y,Centroid X
7,46463.77323913574,351.06478576950525,726.7554077961465
8,96659.29664611816,404.8049500310104,456.54731020241314
9,76321.98182678223,384.95400250716335,1348.2090705587393
11,260417.02711486816,646.6043059683011,958.4424361792142
12,122262.0037689209,730.9192884103019,551.2019649200711
13,106925.27827453613,730.5889328755605,1301.2244079316145
14,3197.1766204833984,661.0837673611111,304.2282986111111
15,112919.00549316406,907.7729341947116,258.61789963942306
16,220430.0032196045,1142.05546875,779.9319976478495
18,22019.88328552246,1089.0053821226898,1122.9123139117041
20,51100.86674499512,1364.1569486242477,1214.7144810027946
