Object Label,Area (pixels),Centroid Y,Centroid X
8,71354.44218444824,175.04401793945914,598.1381784918561
9,132317.95263671875,486.14727847450655,351.34256399054277
11,219422.36807250977,564.0261108829443,730.8009023146332
12,479603.51068115234,864.9153970542394,1210.6278726314795
14,103770.65565490723,927.3535803197066,563.3487601546121
16,54433.841064453125,941.3748256138392,277.1001674107143
18,54521.20475769043,1181.4503447621457,660.3441675101215
20,20779.582427978516,1195.4729035889738,858.0539454830786
23,56959.70867919922,1334.140277307469,1082.02635811726
