Object Label,Area (pixels),Centroid Y,Centroid X
8,159664.76551818848,341.08843635887206,310.7003947457398
9,71066.09384155273,322.7619908870222,1428.0859037839086
12,38736.787857055664,382.5187392611684,1055.1892540091637
13,13058.93325805664,391.5056515957447,1243.1961020611702
16,163962.36477661133,630.3910769883369,747.7017329994729
18,29475.27326965332,524.4379366864472,1121.8665534073507
19,22619.66912841797,526.1046589176829,1392.5012068089432
22,43258.00471496582,676.4416631873073,1164.5431253211716
24,39018.34378051758,670.2056140164399,365.83018884637187
25,4887.880783081055,650.0078125,196.02473958333331
27,34594.90734863281,817.9916639819587,249.38912995328607
28,62840.27114868164,884.8857326534171,990.6392875043585
29,153557.41734313965,998.3767402668262,582.0943891245424
32,12003.3203125,947.7452697753906,812.0489501953125
33,68352.37020874023,1090.047907974968,298.96067674903725
35,57623.31285095215,1154.0974595966818,874.606454996186
36,148347.70767211914,1244.18582687244,1198.6919273880926
37,68623.96560668945,1336.0362932921973,405.2034957205414
39,34938.02590942383,1356.1993678435115,779.5595628578244
40,17084.480911254883,1285.9495119805629,204.09384425268095
41,35129.050033569336,1433.7543062579014,605.9529719105562
42,29869.993942260742,1442.3244940029986,1506.5555601105696
45,49660.03744506836,1482.3821117340142,162.6852970970249
47,16893.456787109375,1464.941066576087,1319.6599864130435
