Object Label,Area (pixels),Centroid Y,Centroid X
5,106442.28149414062,180.34400371476715,685.1259239047181
7,43798.48361206055,285.30086805555555,953.5086371527777
8,125170.3758392334,477.45997416637715,1191.224999457277
9,173534.86065673828,562.2854283271143,811.7388603855721
10,16145.200820922852,416.31606320821527,509.3392683250708
11,25990.204513549805,552.1986790263385,356.82185071243526
12,32202.581741333008,647.0985267542313,565.9904354724964
13,61169.488037109375,794.6839417205459,511.096643206717
17,243992.09519958496,978.2785856771292,1123.6018986400106
19,50758.20439147949,974.6507158620315,781.4108067240627
20,88521.29385375977,1138.8438772519744,545.9347448019496
21,116254.23550415039,1316.1703500769015,775.9229586129754
23,23736.38850402832,1433.749494047619,503.20637648809526
24,77147.64096069336,1499.274262546008,971.6991081540203
28,10510.432693481445,1546.1779729920813,652.9089896776018
