Object Label,Area (pixels),Centroid Y,Centroid X
7,94039.72912597656,405.35778309421465,1446.368138650093
8,116163.2474975586,410.54333696209017,817.6878201844262
10,115095.41833496094,572.1816273484706,1230.7029701071563
11,65379.26739501953,646.5320040214477,619.491700527815
12,65463.462982177734,683.9317242930053,963.3577643908969
14,31453.413360595703,755.627440023017,424.41262947060903
15,20462.264923095703,742.908203125,1496.269748263889
17,43733.752868652344,855.2710494686236,168.93829469256073
18,87754.02925109863,886.681072708853,1168.1624532418953
19,337130.99237060547,1160.3867938701924,747.6157602163461
20,41790.91815185547,944.300311668883,379.66798952792556
22,36424.57731628418,1068.0154580662393,193.95128395909646
23,160581.8688659668,1242.616037735849,1168.0287851667788
24,47237.83026123047,1185.5815191947565,385.3297891795412
