Object Label,Area (pixels),Centroid Y,Centroid X
6,111264.0629119873,246.0585099248927,298.25335300429185
7,173835.8814239502,447.7622636277613,1215.149275176843
9,30410.47283935547,471.6145719115497,499.99605948464915
10,483080.4437408447,1017.9722753551325,842.9347700226044
12,53530.32255554199,717.9114432803468,1128.2804984258876
14,12813.138916015625,912.7723604090074,1085.8090963924633
15,66907.91659545898,984.8028930824049,1255.5419473910551
16,126543.30628967285,1161.3733881522485,510.6297389933059
19,33739.822845458984,1460.796292669855,735.0075651385224
