Object Label,Area (pixels),Centroid Y,Centroid X
6,141598.0196533203,315.89521890281173,532.0053519922831
8,105027.70945739746,393.54781788793105,1251.696467984005
9,208393.20236206055,501.7939999029503,974.6741766951346
10,62989.19747924805,480.1869567107093,322.56864731832405
13,41836.18405151367,637.0844736929406,715.9701267250531
15,44731.427490234375,674.0023987785219,537.3494117373511
16,93841.45637512207,814.3830732788596,1372.9888951668984
17,28020.859130859375,863.1909555288462,872.3930851862981
18,14228.16716003418,851.2963151465798,727.6596854641693
19,50696.185546875,918.8127170138889,1082.974117702908
21,17269.168823242188,1022.2839303523936,1183.6109021775267
22,19127.80795288086,989.4013903287915,1527.8057334863745
23,78692.58689880371,1104.1474994788773,638.9388158351862
24,87533.12355041504,1153.9936243933548,915.5032665505228
25,35936.15673828125,1121.1831103515626,1401.1929980468751
26,16512.32095336914,1166.6154714595375,1314.3270073157514
27,57224.967864990234,1255.9359038978494,1206.6608462941629
28,62377.651626586914,1181.5952303502115,303.63049962508825
31,48954.33547973633,1386.61492710217,446.2834609516275
32,34552.80955505371,1343.1746824596773,680.2648941532258
33,21768.208938598633,1347.5980310501066,1422.4553654717483
34,54789.63204956055,1413.6902556932182,1006.3240902136837
35,27480.83644104004,1444.673577891015,249.49114756655572
36,7786.74853515625,1389.5059814453125,824.82275390625
38,23664.865341186523,1510.1566947343454,1194.8533117884251
