Object Label,Area (pixels),Centroid Y,Centroid X
8,7712.057266235352,115.7412655279503,272.7496118012423
9,74151.90519714355,328.91652488596236,310.26128421130073
10,31864.886978149414,389.406074684432,587.1303032959327
11,14399.726440429688,364.4459259815705,768.4870042067308
13,41732.52362060547,501.61316489361707,153.12343750000002
14,80395.96348571777,624.1733618814573,862.6838507680804
15,54145.49272155762,582.9194554808475,636.1899895578647
16,6643.315689086914,506.98577212591243,317.16802577554745
17,19626.645263671875,555.3488136574074,460.427662037037
18,21637.835037231445,637.8919025157232,284.4506027253669
22,163508.79336547852,953.6967972051638,1094.1871089622953
23,74838.59852600098,897.3410386565967,661.566064196585
25,55440.56379699707,1089.6350583614194,842.1490632434575
26,47661.976303100586,1151.294094647822,1450.8494410333642
27,192437.22618103027,1331.97159631974,658.0975135839122
29,64554.06446838379,1174.184036369454,218.62629052901025
32,1966.3800811767578,1243.294974662162,1613.3023648648648
33,30190.479553222656,1350.7718541974853,1513.04607179179
