Object Label,Area (pixels),Centroid Y,Centroid X
10,204386.6633453369,445.55964008166495,495.01005169915703
11,79621.90646362305,386.8219268832327,1184.7167111175906
12,91698.09321594238,360.3049738219895,911.0337450916231
13,69184.82176208496,528.0142683531745,1327.1563020833332
15,164817.44927978516,726.0083750737801,780.4370890854537
16,109275.96229553223,814.3709538524672,1268.0523372214484
17,41282.12031555176,804.2756606712219,391.0145657489282
19,65314.53665161133,930.7112861786912,963.3442926803691
20,102213.03729248047,1028.110719229131,311.23025081186114
22,10953.587371826172,945.0808659401259,516.0909762342437
24,87218.97415161133,1128.348407451923,1204.7591002747254
25,19286.69480895996,1099.418550531915,909.6018118351064
27,4211.147979736328,1221.8541349085365,884.4635099085366
28,24477.85205078125,1266.0974408318014,990.130801930147
29,46101.18983459473,1261.1448652137367,1496.83588871878
30,47419.35006713867,1376.6798773364485,523.9317428446261
32,51813.81733703613,1377.8719828964192,1281.266840499787
35,12058.090530395508,1562.731127274904,663.5945581896552
