Object Label,Area (pixels),Centroid Y,Centroid X
8,44812.45497131348,244.50981788899898,708.720941216551
9,73643.56356811523,342.7628910883749,1205.4233693838967
10,18561.07179260254,308.0267898074572,930.425876757335
12,83925.38572692871,476.67149795666836,720.0072976128697
14,21330.021850585938,454.70204912605936,979.702976032839
15,193794.7723083496,768.8251696249444,1244.2009698576126
16,191031.70225524902,725.8133172181787,415.91625320892575
17,121944.68626403809,767.3322942643391,924.4841523423584
20,103644.36227416992,1018.918924813707,791.7528124344038
23,52820.54006958008,1115.3744117876456,559.9732184640184
24,96856.20077514648,1202.0341139994393,1085.0297453054934
25,25174.049697875977,1206.4849111519607,1384.2591911764705
27,55651.05276489258,1344.6783514761057,720.2914691943128
28,17586.486328125,1351.4380187988281,903.729715983073
33,6150.814590454102,1476.058835998062,865.9089147286822
