Object Label,Area (pixels),Centroid Y,Centroid X
8,83909.08898925781,187.65536258428423,1477.4637537279564
9,54171.29377746582,200.63518358421481,930.1946323230269
10,29413.254425048828,252.39216850303953,602.6311680756079
11,9807.442626953125,261.5900315504808,767.8631310096154
12,53374.60380554199,361.70426687654833,1196.7905333918247
13,7372.1068115234375,291.7592259457237,1075.3045590049342
15,125166.7515258789,470.62986520457696,332.39392851725034
16,31706.456329345703,439.089378983711,1332.6341514695466
17,22214.53172302246,377.3328574178645,660.7521737037987
18,16851.815200805664,379.33978964681444,897.5575549688365
19,32862.561599731445,510.70651432469305,697.8398757247612
20,57115.42742919922,522.0103491437694,957.3780385303793
22,47690.94546508789,693.9822449745841,546.0590269755083
23,30556.687271118164,620.9313738986784,1277.9436891978708
24,117141.91348266602,794.0232579688659,187.68399624722016
25,191158.45184326172,809.7691501524391,978.9274926603433
27,79437.67475891113,793.6960924572531,1415.8267115968008
28,9052.850448608398,748.8699484620419,389.3648151178011
30,43989.507736206055,930.1717375942211,444.6852779522613
31,112906.78927612305,1009.1982881877412,728.5387895149614
32,148686.74571228027,1119.7652751526607,1359.663767174324
34,26352.78791809082,1107.6674779817488,360.82114150042446
36,26624.83952331543,1175.6438484768908,208.76999080882354
37,22836.03810119629,1183.9507271039604,998.2445544554455
38,98874.18296813965,1294.990654928996,563.0919594204095
39,12657.420166015625,1203.3614860983455,835.1515251608456
41,63507.49963378906,1392.2695501338053,265.79548838915747
42,18084.867431640625,1298.43484375,1104.775869140625
44,14607.047302246094,1346.0514364121834,1490.374629153481
45,22010.378967285156,1364.0270774147727,1302.5492720170455
46,31269.18165588379,1461.483024345409,1524.2434148583216
48,22706.576614379883,1466.9602435753493,1236.8399451097805
50,23762.189559936523,1536.8485234819734,670.8784318666983
