Object Label,Area (pixels),Centroid Y,Centroid X
9,27680.90867614746,239.0325012703252,253.8236725101626
10,156818.41229248047,380.540914415656,625.811537434537
12,22839.20620727539,365.29279891304344,984.4876868206521
14,68271.34272766113,611.8153349791265,956.2984806518947
15,62963.852630615234,691.8821814903846,734.1830528846153
16,39322.988861083984,682.3167369145034,477.56239859621894
17,173350.17274475098,893.5592452778815,1288.2799809792755
20,21734.703048706055,840.5212377070394,338.3981220885093
21,147336.44821166992,985.1881686270552,604.743625678949
22,26106.993576049805,872.1639545552678,949.4742349417098
23,3356.0634765625,909.7786865234375,243.716064453125
26,49813.04429626465,1021.5592988996873,220.13769967605003
27,213816.11289978027,1247.655402795226,890.0852449748743
28,61542.48817443848,1188.1938683372218,258.1385751301149
30,21077.435089111328,1295.5120540504292,500.2381303648068
